transaction_id,account_id,date,vendor,amount,balance after
,1003,1-Jun-25,,,0
C01,1003,2-Jun-25,,500,-500
C02,1003,3-Jun-25,,200,-700
C03,1003,4-Jun-25,,-150,-550
,1003,5-Jun-25,,,-550
,1003,6-Jun-25,,,-550
C04,1003,7-Jun-25,,200,-750
,1003,8-Jun-25,,,-750
,1003,9-Jun-25,,,-750
C05,1003,10-Jun-25,,600,-1350
,1003,11-Jun-25,,,-1350
C06,1003,12-Jun-25,,320,-1670
C07,1003,13-Jun-25,,200,-1870
,1003,14-Jun-25,,,-1870
C08,1003,15-Jun-25,,-500,-1370
,1003,16-Jun-25,,,-1370
,1003,17-Jun-25,,,-1370
,1003,18-Jun-25,,,-1370
C09,1003,19-Jun-25,,420,-1790
